Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
0,2024-08-29 23:45:00,BTCUSDT,59344.9,59471,59232.1,59470.9,1322.499,78581216.8951,0
0,2024-08-29 23:30:00,BTCUSDT,59302.2,59400,59295,59344.9,1213.52,72018448.8302,0
0,2024-08-29 23:15:00,BTCUSDT,59381.3,59450.7,59179.1,59302.2,1570.004,93088276.3873,0
0,2024-08-29 23:00:00,BTCUSDT,59218.7,59474.7,59200,59381.3,1557.96,92483276.5761,0
0,2024-08-29 22:45:00,BTCUSDT,59503.6,59589.7,59113.6,59218.7,2619.426,155243563.2109,0
0,2024-08-29 22:30:00,BTCUSDT,59423.6,59649.9,59266.1,59503.6,2992.171,178037705.1867,0
0,2024-08-29 22:15:00,BTCUSDT,59079.9,59449.6,59079.9,59423.6,1963.981,116511890.2844,0
0,2024-08-29 22:00:00,BTCUSDT,59111.5,59296.1,58900,59079.9,4046.283,239096227.3622,0
0,2024-08-29 21:45:00,BTCUSDT,59199.3,59248.3,58864.9,59111.5,5571.111,329120229.6434,0
0,2024-08-29 21:30:00,BTCUSDT,59583.8,59718.5,59134.2,59199.3,4932.595,292774132.1691,0
0,2024-08-29 21:15:00,BTCUSDT,59951.2,59953.9,59479.8,59583.8,6458.552,385367974.2089,0
0,2024-08-29 21:00:00,BTCUSDT,60484,60504.3,59885,59951.2,3468.9,208304303.1519,0
0,2024-08-29 20:45:00,BTCUSDT,60544.3,60544.3,60330,60484,1148.26,69396922.0214,0
0,2024-08-29 20:30:00,BTCUSDT,60317.7,60545.7,60316.9,60544.3,1478.331,89378305.7878,0
0,2024-08-29 20:15:00,BTCUSDT,60189.4,60398.5,60189.4,60317.7,1330.583,80271939.4603,0
0,2024-08-29 20:00:00,BTCUSDT,60260.1,60345,60129.5,60189.4,1604.848,96666687.1317,0
0,2024-08-29 19:45:00,BTCUSDT,60434.7,60434.7,60184.4,60260.1,3231.299,194734141.0896,0
0,2024-08-29 19:30:00,BTCUSDT,60564.2,60603.5,60405.6,60434.7,2321.886,140505982.8163,0
0,2024-08-29 19:15:00,BTCUSDT,60854.4,60893.8,60563.1,60564.2,1886.444,114442154.8237,0
0,2024-08-29 19:00:00,BTCUSDT,60730.2,60910,60725.1,60854.4,972.325,59142775.2429,0
0,2024-08-29 18:45:00,BTCUSDT,60852,60984.4,60693.7,60730.2,1660.9,100965004.1428,0
0,2024-08-29 18:30:00,BTCUSDT,60974.3,61128.8,60852,60852,2559.913,156202848.6944,0
0,2024-08-29 18:15:00,BTCUSDT,60856.1,61030.7,60765.6,60974.3,3098.354,188692866.9687,0
0,2024-08-29 18:00:00,BTCUSDT,60760.1,60999,60737.8,60856.1,2891.393,176078619.5626,0
0,2024-08-29 17:45:00,BTCUSDT,60843.4,60905.3,60674,60760.1,2189.929,133157189.2236,0
0,2024-08-29 17:30:00,BTCUSDT,60597.6,60868,60502.8,60843.4,2197.142,133415099.7304,0
0,2024-08-29 17:15:00,BTCUSDT,60714.5,60764.5,60401,60597.6,2616.584,158419387.6747,0
0,2024-08-29 17:00:00,BTCUSDT,60576.8,60810.4,60507.3,60714.5,3975.014,241132700.4944,0
0,2024-08-29 16:45:00,BTCUSDT,60245.2,60628.3,60245,60576.8,3618.693,218894786.8702,0
0,2024-08-29 16:30:00,BTCUSDT,60221.6,60500,60144.5,60245.2,2866.277,172930224.1445,0
0,2024-08-29 16:15:00,BTCUSDT,60368.7,60368.7,60147.1,60221.6,1471.975,88696058.8166,0
0,2024-08-29 16:00:00,BTCUSDT,60278.7,60404.3,60240.4,60368.7,1289.728,77805961.1863,0
0,2024-08-29 15:45:00,BTCUSDT,60336.8,60361.5,60200,60278.7,2561.472,154349347.3578,0
0,2024-08-29 15:30:00,BTCUSDT,60191.6,60462,60058,60336.8,3878.787,233875559.3807,0
0,2024-08-29 15:15:00,BTCUSDT,60035.5,60238.9,60000,60191.6,1380.223,82993374.1598,0
0,2024-08-29 15:00:00,BTCUSDT,60025,60140,59935.9,60035.5,2181.925,131007143.6633,0
0,2024-08-29 14:45:00,BTCUSDT,60119,60434.6,60025,60025,6373.637,384119445.5198,0
0,2024-08-29 14:30:00,BTCUSDT,59908.6,60147.3,59908.6,60119,4147.902,249048603.0218,0
0,2024-08-29 14:15:00,BTCUSDT,59768.8,59994.2,59731.7,59908.6,5412.337,324041569.1293,0
0,2024-08-29 14:00:00,BTCUSDT,59630,59768.9,59569.2,59768.8,712.151,42493706.7887,0
0,2024-08-29 13:45:00,BTCUSDT,59659.7,59664.9,59594.1,59630,359.852,21458452.1344,0
0,2024-08-29 13:30:00,BTCUSDT,59680.7,59733,59557.5,59659.7,814.322,48567662.9355,0
0,2024-08-29 13:15:00,BTCUSDT,59749.6,59804.2,59664.8,59680.7,1056.246,63069724.8197,0
0,2024-08-29 13:00:00,BTCUSDT,59519.9,59779.7,59519.9,59749.6,1774.124,105863617.7789,0
0,2024-08-29 12:45:00,BTCUSDT,59650.1,59683,59512.7,59519.9,974.842,58079111.7387,0
0,2024-08-29 12:30:00,BTCUSDT,59699.2,59733.2,59619.1,59650.1,849.4,50682768.829,0
0,2024-08-29 12:15:00,BTCUSDT,59592,59709.7,59531.3,59699.2,1032.723,61581852.9788,0
0,2024-08-29 12:00:00,BTCUSDT,59507.3,59671.5,59500.8,59592,1738.193,103608740.6856,0
0,2024-08-29 11:45:00,BTCUSDT,59447.7,59516.2,59404,59507.3,1537.933,91425332.3288,0
0,2024-08-29 11:30:00,BTCUSDT,59429.7,59474,59358,59447.7,421.514,25054826.1366,0
0,2024-08-29 11:15:00,BTCUSDT,59420,59523,59331.2,59429.7,1486.849,88309806.6469,0
0,2024-08-29 11:00:00,BTCUSDT,59534.8,59591.3,59404.3,59420,1141.046,67856869.5528,0
0,2024-08-29 10:45:00,BTCUSDT,59589.1,59600,59524.6,59534.8,311.127,18533404.6235,0
0,2024-08-29 10:30:00,BTCUSDT,59508.9,59637.6,59508.9,59589.1,436.615,26016582.3456,0
0,2024-08-29 10:15:00,BTCUSDT,59551.3,59598,59454.2,59508.9,596.292,35492936.7353,0
0,2024-08-29 10:00:00,BTCUSDT,59522.3,59644,59517.8,59551.3,679.013,40458462.2502,0
